run_timestamp,control_id,check_name,table_name,dimension,severity,failed_count,status
2026-06-08T22:25:00,CTRL-001,Customer ID must not be null,stg_customers,Completeness,High,0,PASS
2026-06-08T22:25:00,CTRL-002,Customer name must not be null,stg_customers,Completeness,Medium,1,FAIL
2026-06-08T22:25:00,CTRL-003,Customer created date must not be null,stg_customers,Completeness,Medium,0,PASS
2026-06-08T22:25:00,CTRL-004,Customer country must be valid,stg_customers,Validity,Medium,51,FAIL
2026-06-08T22:25:00,CTRL-005,Account ID must not be null,stg_accounts,Completeness,High,0,PASS
2026-06-08T22:25:00,CTRL-006,Every account must map to a valid customer,stg_accounts,Integrity,High,1,FAIL
2026-06-08T22:25:00,CTRL-007,Account status must be valid,stg_accounts,Validity,Medium,292,FAIL
2026-06-08T22:25:00,CTRL-008,Account open date must not be null,stg_accounts,Completeness,Medium,0,PASS
2026-06-08T22:25:00,CTRL-009,Transaction ID must not be null,stg_transactions,Completeness,High,0,PASS
2026-06-08T22:25:00,CTRL-010,Every transaction must map to a valid account,stg_transactions,Integrity,High,1,FAIL
2026-06-08T22:25:00,CTRL-011,Transaction amount should not be zero,stg_transactions,Validity,Medium,0,PASS
2026-06-08T22:25:00,CTRL-012,Transaction currency must be valid,stg_transactions,Validity,Medium,0,PASS
2026-06-08T22:25:00,CTRL-013,Transaction date must not be null,stg_transactions,Completeness,High,0,PASS
2026-06-08T22:25:00,CTRL-014,Regulatory reported balance must not be null,stg_regulatory_balances,Completeness,High,1,FAIL
2026-06-08T22:25:00,CTRL-015,Regulatory reported balance should not be negative,stg_regulatory_balances,Validity,High,0,PASS
2026-06-08T22:25:00,CTRL-016,Report date must not be null,stg_regulatory_balances,Completeness,High,0,PASS
2026-06-08T22:25:00,CTRL-017,Report name must not be null,stg_regulatory_balances,Completeness,High,0,PASS
